Duration..in.seconds.,RecordedDate,LocationLatitude,LocationLongitude,class_baseline,personality_baseline,grade_baseline,class,gender_p,class_p,personality_p,grade_p,personality,grade,Treatment
62,2019-12-05 15:27:49,37.751007080078125,-97.8219985961914,Sophomore,Logical,A-(3.5-3.75),Senior,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
44,2019-12-05 15:30:52,42.346405029296875,-71.097503662109375,Junior,Logical,B(3.0-3.25),Senior,Female,Graduates,Logical,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
54,2019-12-05 15:31:20,42.346405029296875,-71.097503662109375,Senior,Logical,B+(3.25-3.5),Sophomore,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
47,2019-12-05 15:33:17,51.453399658203125,-2.5077056884765625,Sophomore,Logical,A-(3.5-3.75),Junior,Male,Senior,Prefer not to say,B(3.0-3.25),Emotional,B-(2.75-3.0),FALSE
66,2019-12-05 15:36:26,42.346405029296875,-71.097503662109375,Senior,Emotional,B(3.0-3.25),Graduates,Male,Graduates,Logical,B+(3.25-3.5),Logical,B+(3.25-3.5),FALSE
62,2019-12-05 15:36:39,29.722793579101562,-95.42510223388672,Graduates,Emotional,B(3.0-3.25),Junior,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
77,2019-12-05 15:39:45,47.60920715332031,-122.33140563964844,Freshman,Emotional,A-(3.5-3.75),Freshman,Male,Other,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
65,2019-12-05 15:41:11,42.346405029296875,-71.097503662109375,Graduates,Emotional,B+(3.25-3.5),Graduates,Male,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
46,2019-12-05 15:42:55,39.95869445800781,-82.99870300292969,Graduates,Emotional,A(3.75-4.0),Graduates,Male,Graduates,Prefer not to say,B(3.0-3.25),Logical,A(3.75-4.0),FALSE
51,2019-12-05 15:44:46,43.18060302734375,-77.59480285644531,Junior,Logical,A-(3.5-3.75),Senior,Female,Senior,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
73,2019-12-05 15:45:40,40.789398193359375,-73.58550262451172,Graduates,Emotional,B+(3.25-3.5),Graduates,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
65,2019-12-05 15:46:44,40.67399597167969,-73.97010040283203,Senior,Emotional,A-(3.5-3.75),Freshman,Female,Senior,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
121,2019-12-05 15:47:22,42.3634033203125,-71.07129669189453,Senior,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,B(3.0-3.25),Emotional,B+(3.25-3.5),FALSE
51,2019-12-05 15:49:24,42.34979248046875,-71.07649993896484,Graduates,Emotional,B+(3.25-3.5),Sophomore,Female,Graduates,Prefer not to say,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
79,2019-12-05 15:52:53,37.751007080078125,-97.8219985961914,Junior,Logical,A-(3.5-3.75),Freshman,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
87,2019-12-05 15:54:32,48.85429382324219,2.3527069091796875,Graduates,Logical,B+(3.25-3.5),Junior,Female,Graduates,Logical,B+(3.25-3.5),Emotional,B+(3.25-3.5),FALSE
1305,2019-12-05 15:56:16,40.86219787597656,-73.89019775390625,Graduates,Emotional,B(3.0-3.25),Senior,Female,Graduates,Emotional,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
86,2019-12-05 15:58:26,42.346405029296875,-71.097503662109375,Sophomore,Emotional,B+(3.25-3.5),Senior,Female,Graduates,Logical,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
59,2019-12-05 15:58:53,42.46519470214844,-83.37129974365234,Freshman,Emotional,C+(2.5-2.75),Senior,Female,Graduates,Logical,A-(3.5-3.75),Emotional,B-(2.75-3.0),FALSE
93,2019-12-05 15:58:56,42.297393798828125,-71.07219696044922,Sophomore,Emotional,B+(3.25-3.5),Junior,Female,Graduates,Prefer not to say,B+(3.25-3.5),Logical,A-(3.5-3.75),FALSE
74,2019-12-05 16:05:45,48.85820007324219,2.3386993408203125,Freshman,Emotional,A-(3.5-3.75),Senior,Female,Graduates,Logical,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
110,2019-12-05 16:08:11,53.38310241699219,-1.4600982666015625,Graduates,Logical,A-(3.5-3.75),Junior,Male,Graduates,Logical,B(3.0-3.25),Emotional,B-(2.75-3.0),FALSE
74,2019-12-05 16:18:51,-27.47320556640625,153.02151489257812,Graduates,Logical,B+(3.25-3.5),Graduates,Female,Other,Prefer not to say,B-(2.75-3.0),Logical,B+(3.25-3.5),FALSE
54,2019-12-05 16:20:08,42.36399841308594,-71.02649688720703,Graduates,Logical,A-(3.5-3.75),Junior,Female,Graduates,Emotional,A(3.75-4.0),Emotional,B(3.0-3.25),FALSE
65,2019-12-05 16:31:05,42.33990478515625,-71.12449645996094,Graduates,Logical,A-(3.5-3.75),Graduates,Female,Graduates,Logical,Prefer not to say,Logical,A-(3.5-3.75),FALSE
70,2019-12-05 16:36:55,39.95869445800781,-82.99870300292969,Graduates,Emotional,B(3.0-3.25),Freshman,Male,Junior,Emotional,B(3.0-3.25),Logical,B+(3.25-3.5),FALSE
202,2019-12-05 16:41:24,42.3634033203125,-71.07129669189453,Junior,Logical,B+(3.25-3.5),Graduates,Female,Junior,Emotional,B+(3.25-3.5),Logical,A-(3.5-3.75),FALSE
50,2019-12-05 16:41:43,42.34269714355469,-71.09220123291016,Graduates,Logical,A(3.75-4.0),Senior,Female,Graduates,Prefer not to say,A(3.75-4.0),Logical,A(3.75-4.0),FALSE
86,2019-12-05 16:54:54,41.30540466308594,-105.59030151367188,PhD,Logical,A(3.75-4.0),PhD,Male,Sophomore,Logical,A(3.75-4.0),Logical,A(3.75-4.0),FALSE
111,2019-12-05 17:00:03,42.05140686035156,-93.69080352783203,Freshman,Logical,A-(3.5-3.75),Freshman,Female,Graduates,Logical,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
55,2019-12-05 17:01:02,42.34739685058594,-71.158203125,Junior,Logical,A-(3.5-3.75),Junior,Female,Graduates,Emotional,B+(3.25-3.5),Emotional,A-(3.5-3.75),FALSE
157,2019-12-05 17:18:56,40.80000305175781,-73.97630310058594,Junior,Logical,A-(3.5-3.75),Sophomore,Female,Other,Logical,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
66,2019-12-05 17:43:17,40.746307373046875,-74.1552963256836,Junior,Emotional,B(3.0-3.25),Sophomore,Female,Graduates,Prefer not to say,B(3.0-3.25),Logical,A(3.75-4.0),FALSE
216,2019-12-05 18:34:02,35.5928955078125,112.2493896484375,Graduates,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,A-(3.5-3.75),Logical,B+(3.25-3.5),FALSE
118,2019-12-05 18:54:35,29.556900024414062,106.5531005859375,Graduates,Emotional,B-(2.75-3.0),Freshman,Male,Graduates,Logical,A-(3.5-3.75),Logical,B+(3.25-3.5),FALSE
83,2019-12-05 19:03:16,38.643798828125,-90.53009796142578,Graduates,Logical,A-(3.5-3.75),Senior,Male,Graduates,Logical,B(3.0-3.25),Emotional,B-(2.75-3.0),FALSE
85,2019-12-05 19:08:22,33.794097900390625,-84.32499694824219,Junior,Logical,A-(3.5-3.75),Freshman,Female,Graduates,Emotional,B+(3.25-3.5),Emotional,B+(3.25-3.5),FALSE
119,2019-12-05 19:14:02,32.06170654296875,118.77780151367188,Graduates,Logical,B+(3.25-3.5),PhD,Female,Graduates,Logical,A(3.75-4.0),Logical,B+(3.25-3.5),FALSE
157,2019-12-05 19:17:02,31.304092407226562,120.59539794921875,PhD,Logical,A-(3.5-3.75),Graduates,Male,Graduates,Logical,B+(3.25-3.5),Emotional,B+(3.25-3.5),FALSE
89,2019-12-05 19:21:01,33.78550720214844,-84.36119842529297,Senior,Emotional,A(3.75-4.0),Junior,Female,Graduates,Logical,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
55,2019-12-05 19:25:58,39.928802490234375,116.38888549804688,Sophomore,Emotional,B+(3.25-3.5),Junior,Female,Other,Logical,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
167,2019-12-05 19:35:02,24.47979736328125,118.0819091796875,Graduates,Logical,B+(3.25-3.5),Freshman,Female,Sophomore,Prefer not to say,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
105,2019-12-05 19:35:57,32.06170654296875,118.77780151367188,Senior,Logical,B+(3.25-3.5),Sophomore,Male,Senior,Prefer not to say,B(3.0-3.25),Logical,A-(3.5-3.75),FALSE
64,2019-12-05 19:37:37,33.82310485839844,-84.32579803466797,Junior,Logical,A-(3.5-3.75),Senior,Female,Graduates,Logical,A(3.75-4.0),Logical,A(3.75-4.0),FALSE
222,2019-12-05 19:47:25,23.030807495117188,113.7174072265625,Graduates,Logical,A(3.75-4.0),Senior,Female,Graduates,Emotional,C(2.25-2.5),Emotional,B(3.0-3.25),FALSE
81,2019-12-05 19:50:15,42.34739685058594,-71.158203125,Junior,Logical,A-(3.5-3.75),Senior,Female,Graduates,Logical,B(3.0-3.25),Logical,A-(3.5-3.75),FALSE
82,2019-12-05 19:58:11,33.808807373046875,-84.28150177001953,Graduates,Logical,B(3.0-3.25),Senior,Female,Graduates,Emotional,A(3.75-4.0),Emotional,B-(2.75-3.0),FALSE
64,2019-12-05 20:11:05,42.346405029296875,-71.097503662109375,Sophomore,Logical,A(3.75-4.0),Freshman,Female,Graduates,Prefer not to say,Prefer not to say,Emotional,B(3.0-3.25),FALSE
93,2019-12-05 20:12:45,40.81059265136719,111.65219116210938,Sophomore,Emotional,A-(3.5-3.75),Freshman,Female,Other,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
99,2019-12-05 20:22:07,42.03599548339844,-93.46520233154297,Graduates,Logical,A-(3.5-3.75),Sophomore,Male,Senior,Prefer not to say,B(3.0-3.25),Logical,A-(3.5-3.75),FALSE
82,2019-12-05 20:51:20,42.34979248046875,-71.07649993896484,Graduates,Logical,A-(3.5-3.75),Graduates,Female,Graduates,Prefer not to say,B(3.0-3.25),Emotional,B+(3.25-3.5),FALSE
174,2019-12-05 21:29:02,24.47979736328125,118.0819091796875,Senior,Logical,A-(3.5-3.75),Junior,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
61,2019-12-05 21:54:04,42.34739685058594,-71.158203125,Graduates,Logical,B+(3.25-3.5),Senior,Female,Graduates,Emotional,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
73,2019-12-05 23:11:17,33.82310485839844,-84.32579803466797,Sophomore,Emotional,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
17000,2019-12-06 00:24:24,31.044906616210938,121.40121459960938,Graduates,Emotional,A-(3.5-3.75),Freshman,Female,Graduates,Emotional,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
146,2019-12-06 01:37:56,30.666702270507812,104.06671142578125,Graduates,Logical,A-(3.5-3.75),Junior,Female,Graduates,Logical,B+(3.25-3.5),Logical,A-(3.5-3.75),FALSE
218,2019-12-06 03:33:55,31.044906616210938,121.40121459960938,Junior,Emotional,A-(3.5-3.75),Freshman,Female,Junior,Prefer not to say,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
120,2019-12-06 03:44:11,39.928802490234375,116.38888549804688,Junior,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
78,2019-12-06 04:18:00,31.383499145507812,120.95199584960938,Sophomore,Logical,A(3.75-4.0),Freshman,Male,Sophomore,Prefer not to say,B(3.0-3.25),Emotional,B(3.0-3.25),FALSE
121,2019-12-06 04:18:54,48.85820007324219,2.3386993408203125,Graduates,Logical,B+(3.25-3.5),Sophomore,Male,Junior,Logical,Prefer not to say,Logical,C+(2.5-2.75),FALSE
81,2019-12-06 04:23:03,31.304092407226562,120.59539794921875,Sophomore,Emotional,B+(3.25-3.5),Freshman,Female,Senior,Prefer not to say,B(3.0-3.25),Emotional,C+(2.5-2.75),FALSE
125,2019-12-06 04:34:40,39.928802490234375,116.38888549804688,Graduates,Logical,A(3.75-4.0),Freshman,Male,Graduates,Logical,A(3.75-4.0),Logical,A-(3.5-3.75),FALSE
125,2019-12-06 05:27:59,31.304092407226562,120.59539794921875,Sophomore,Emotional,A(3.75-4.0),Senior,Female,Sophomore,Logical,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
124,2019-12-06 05:45:12,42.24009704589844,125.71719360351562,Sophomore,Logical,B+(3.25-3.5),Freshman,Female,Graduates,Emotional,B+(3.25-3.5),Emotional,B-(2.75-3.0),FALSE
35,2019-12-06 06:14:48,36.06599426269531,120.369384765625,Sophomore,Logical,B(3.0-3.25),Junior,Prefer not to say,Graduates,Emotional,A-(3.5-3.75),Logical,B+(3.25-3.5),FALSE
102,2019-12-06 06:18:41,31.304092407226562,120.59539794921875,Graduates,Emotional,B(3.0-3.25),Junior,Female,Graduates,Emotional,Prefer not to say,Logical,B(3.0-3.25),FALSE
305,2019-12-06 07:44:05,31.044906616210938,121.40121459960938,Junior,Emotional,A-(3.5-3.75),Senior,Female,Graduates,Emotional,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
102,2019-12-06 07:46:45,42.346405029296875,-71.097503662109375,Junior,Logical,A(3.75-4.0),Senior,Female,Graduates,Logical,A(3.75-4.0),Emotional,B+(3.25-3.5),FALSE
93,2019-12-06 08:28:36,42.346405029296875,-71.097503662109375,Junior,Emotional,A(3.75-4.0),Junior,Male,Graduates,Prefer not to say,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
40,2019-12-06 10:26:31,42.460205078125,-83.1343002319336,Graduates,Logical,A-(3.5-3.75),Graduates,Male,Graduates,Emotional,A-(3.5-3.75),Logical,A(3.75-4.0),FALSE
185,2019-12-06 10:53:10,30.666702270507812,104.06671142578125,Graduates,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Emotional,B+(3.25-3.5),Logical,A(3.75-4.0),FALSE
143,2019-12-06 11:04:32,42.3634033203125,-71.07129669189453,Junior,Emotional,B(3.0-3.25),Sophomore,Prefer not to say,Graduates,Prefer not to say,A(3.75-4.0),Emotional,B-(2.75-3.0),FALSE
87,2019-12-06 11:06:14,42.365997314453125,-71.22709655761719,Graduates,Emotional,A-(3.5-3.75),Graduates,Female,Freshman,Emotional,B+(3.25-3.5),Logical,A(3.75-4.0),FALSE
58,2019-12-06 11:17:39,42.310394287109375,-71.27410125732422,Junior,Emotional,A-(3.5-3.75),Freshman,Female,Other,Emotional,B+(3.25-3.5),Logical,A-(3.5-3.75),FALSE
53,2019-12-06 11:34:19,42.297393798828125,-71.07219696044922,Junior,Logical,A-(3.5-3.75),Sophomore,Female,Sophomore,Prefer not to say,B(3.0-3.25),Logical,B+(3.25-3.5),FALSE
101,2019-12-06 12:05:49,42.346405029296875,-71.097503662109375,Graduates,Emotional,B+(3.25-3.5),Senior,Male,Graduates,Prefer not to say,Prefer not to say,Logical,B(3.0-3.25),FALSE
111,2019-12-06 12:24:32,42.346405029296875,-71.097503662109375,Sophomore,Logical,B(3.0-3.25),Junior,Male,Graduates,Emotional,B(3.0-3.25),Logical,A-(3.5-3.75),FALSE
56,2019-12-06 12:33:11,42.346405029296875,-71.097503662109375,Junior,Logical,A-(3.5-3.75),Junior,Female,Graduates,Logical,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
111,2019-12-06 12:48:37,22.533294677734375,114.13330078125,Junior,Emotional,A-(3.5-3.75),Senior,Female,Senior,Prefer not to say,B+(3.25-3.5),Logical,B+(3.25-3.5),FALSE
79,2019-12-06 13:07:50,42.03599548339844,-93.46520233154297,Graduates,Logical,B(3.0-3.25),Junior,Male,Senior,Logical,B(3.0-3.25),Logical,B(3.0-3.25),FALSE
142,2019-12-06 13:44:43,47.66310119628906,-122.30290222167969,Senior,Logical,A-(3.5-3.75),Sophomore,Prefer not to say,Junior,Prefer not to say,Prefer not to say,Logical,A-(3.5-3.75),FALSE
111,2019-12-06 15:25:50,42.33880615234375,-71.072601318359375,Graduates,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,A(3.75-4.0),Logical,A(3.75-4.0),FALSE
74,2019-12-07 13:10:19,42.3634033203125,-71.07129669189453,Sophomore,Logical,A-(3.5-3.75),Senior,Female,Sophomore,Emotional,A-(3.5-3.75),Logical,B+(3.25-3.5),FALSE
117,2019-12-07 13:34:32,35.36639404296875,-77.9220962524414,Freshman,Emotional,B+(3.25-3.5),Junior,Male,Other,Logical,A(3.75-4.0),Logical,B(3.0-3.25),FALSE
92,2019-12-07 13:37:50,34.06480407714844,-118.08599853515625,Freshman,Logical,A-(3.5-3.75),Freshman,Male,Other,Logical,C+(2.5-2.75),Emotional,B+(3.25-3.5),FALSE
73,2019-12-07 13:50:58,30.377304077148438,-97.70999908447266,Senior,Emotional,B-(2.75-3.0),PhD,Female,Graduates,Logical,B+(3.25-3.5),Logical,A(3.75-4.0),FALSE
95,2019-12-07 13:51:21,42.34919738769531,-71.06580352783203,Senior,Logical,B+(3.25-3.5),Sophomore,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,C+(2.5-2.75),FALSE
89,2019-12-07 13:53:53,39.51069641113281,-84.7426986694336,Junior,Logical,A-(3.5-3.75),Senior,Male,Sophomore,Logical,A(3.75-4.0),Logical,B+(3.25-3.5),FALSE
103,2019-12-07 13:55:11,51.49639892578125,-0.122406005859375,Graduates,Logical,B+(3.25-3.5),Senior,Female,Graduates,Logical,B(3.0-3.25),Logical,B(3.0-3.25),FALSE
260,2019-12-07 13:56:18,43.476593017578125,-96.7052001953125,Junior,Logical,A(3.75-4.0),Freshman,Male,Other,Prefer not to say,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
73,2019-12-07 14:05:24,34.42649841308594,-119.86309814453125,Freshman,Emotional,A-(3.5-3.75),Freshman,Male,Senior,Prefer not to say,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
65,2019-12-07 15:01:07,42.03729248046875,-93.60050201416016,Senior,Logical,A-(3.5-3.75),Sophomore,Male,Senior,Emotional,C+(2.5-2.75),Emotional,B(3.0-3.25),FALSE
101,2019-12-07 15:12:07,42.05140686035156,-93.69080352783203,Graduates,Logical,A-(3.5-3.75),Sophomore,Female,Senior,Prefer not to say,B(3.0-3.25),Logical,A-(3.5-3.75),FALSE
57,2019-12-07 15:37:14,38.714202880859375,-90.2759017944336,Graduates,Emotional,A(3.75-4.0),Senior,Female,Graduates,Logical,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
67,2019-12-07 15:39:58,42.03729248046875,-93.60050201416016,Graduates,Logical,A-(3.5-3.75),Junior,Female,Senior,Emotional,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
66,2019-12-07 16:58:09,40.11199951171875,-88.23650360107422,Sophomore,Logical,A-(3.5-3.75),Sophomore,Male,Graduates,Logical,B(3.0-3.25),Logical,B(3.0-3.25),FALSE
85,2019-12-07 18:45:47,34.032196044921875,-118.28359985351562,Freshman,Logical,A-(3.5-3.75),Junior,Male,Graduates,Prefer not to say,B+(3.25-3.5),Emotional,A-(3.5-3.75),FALSE
960,2019-12-07 19:36:46,41.23240661621094,-95.8750991821289,Senior,Logical,A(3.75-4.0),Senior,Female,Senior,Emotional,B(3.0-3.25),Emotional,B+(3.25-3.5),FALSE
78,2019-12-07 22:16:22,39.928802490234375,116.38888549804688,Junior,Logical,A-(3.5-3.75),Sophomore,Male,Junior,Logical,A(3.75-4.0),Logical,B(3.0-3.25),FALSE
43,2019-12-08 01:06:18,32.06170654296875,118.77780151367188,Sophomore,Logical,A-(3.5-3.75),Sophomore,Male,Other,Prefer not to say,A-(3.5-3.75),Logical,A-(3.5-3.75),FALSE
39,2019-12-08 03:51:14,31.773605346679688,119.95401000976562,Freshman,Logical,A(3.75-4.0),Senior,Prefer not to say,Sophomore,Logical,A(3.75-4.0),Logical,C(2.25-2.5),FALSE
