StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.3,Q2.4,Q2.5,Q3.1_First Click,Q3.1_Last Click,Q3.1_Page Submit,Q3.1_Click Count,Q3.3,Q3.4,Q3.5,Q4.1_First Click,Q4.1_Last Click,Q4.1_Page Submit,Q4.1_Click Count,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,What is your gender?,What year are your?,What's your personality?,What's your letter grade?,Can you guess the purpose of our experiment? (optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID46""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID48_TEXT""}"
2019-12-05 15:26:46,2019-12-05 15:27:49,IP Address,107.242.117.11,100,62,True,2019-12-05 15:27:49,R_AM562gNL9rF24mt,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,3.414,32.245,32.892,22,Sophomore,Logical,A-(3.5-3.75),1.444,12.282,13.063,11,Senior,Emotional,B+(3.25-3.5),,,,,,,,Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:27:24,2019-12-05 15:29:49,IP Address,174.242.73.13,100,145,True,2019-12-05 15:29:50,R_2vjET0usvzZx4Ip,,,,,42.33990478515625,-71.1244964599609375,anonymous,EN,3.006,20.879,22.014,14,Junior,Emotional,B+(3.25-3.5),,,,,,,,3.343,15.466,17.227,9,Senior,Logical,A-(3.5-3.75),Male,Graduates,Logical,A(3.75-4.0),
2019-12-05 15:30:07,2019-12-05 15:30:52,IP Address,155.41.111.5,100,44,True,2019-12-05 15:30:52,R_2RXkdx5IhrwCF87,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,2.943,15.158,15.848,12,Junior,Logical,B(3.0-3.25),1.231,14.032,14.609,15,Senior,Emotional,A-(3.5-3.75),,,,,,,,Female,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:30:25,2019-12-05 15:31:20,IP Address,155.41.85.142,100,54,True,2019-12-05 15:31:20,R_s5R6ceOT9hpFB3H,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,4.474,25.633,26.047,10,Senior,Logical,B+(3.25-3.5),1.284,11.89,12.206,12,Sophomore,Emotional,B(3.0-3.25),,,,,,,,Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:30:49,2019-12-05 15:31:57,IP Address,107.77.195.36,100,67,True,2019-12-05 15:31:57,R_1o83Hg42xMclHto,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,2.465,23.292,25.465,22,Senior,Logical,A-(3.5-3.75),,,,,,,,0.309,19.687,20.651,25,Junior,Logical,A-(3.5-3.75),Female,Graduates,Prefer not to say,A(3.75-4.0),
2019-12-05 15:22:32,2019-12-05 15:33:04,IP Address,107.77.225.73,100,631,True,2019-12-05 15:33:04,R_3Kvzz8a2GBaFzWg,,,,,40.7427978515625,-73.97119903564453125,anonymous,EN,0.746,4.206,5.683,7,Freshman,Logical,B+(3.25-3.5),,,,,,,,1.48,14.03,15.145,13,Sophomore,Emotional,A-(3.5-3.75),Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:32:29,2019-12-05 15:33:17,IP Address,176.248.38.96,100,47,True,2019-12-05 15:33:17,R_3Jq7X1K960IJZZF,,,,,51.453399658203125,-2.5077056884765625,anonymous,EN,2.797,17.62,18.512,11,Sophomore,Logical,A-(3.5-3.75),2.116,7.935,8.672,9,Junior,Emotional,B-(2.75-3.0),,,,,,,,Male,Senior,Prefer not to say,B(3.0-3.25),
2019-12-05 15:34:45,2019-12-05 15:35:52,IP Address,72.70.60.23,100,66,True,2019-12-05 15:35:52,R_10oe3s8VMtI4LCS,,,,,42.4178009033203125,-71.1134033203125,anonymous,EN,2.319,30.159,31.046,16,Graduates,Emotional,B+(3.25-3.5),,,,,,,,3.606,15.528,16.367,11,Graduates,Logical,A-(3.5-3.75),Female,Senior,Emotional,B+(3.25-3.5),
2019-12-05 15:35:22,2019-12-05 15:36:06,IP Address,99.250.91.234,100,43,True,2019-12-05 15:36:07,R_1l4c6tSgWKUhwiz,,,,,43.44189453125,-80.421600341796875,anonymous,EN,1.06,20.948,21.691,22,Freshman,Logical,A-(3.5-3.75),,,,,,,,0.907,8.528,9.518,13,Freshman,Logical,A(3.75-4.0),Prefer not to say,Other,Prefer not to say,Prefer not to say,
2019-12-05 15:35:27,2019-12-05 15:36:24,IP Address,192.138.214.116,100,56,True,2019-12-05 15:36:24,R_3PFxAbfJJsguh5m,,,,,42.3545074462890625,-71.07039642333984375,anonymous,EN,1.124,30.541,31.655,21,Freshman,Logical,A-(3.5-3.75),,,,,,,,0.892,7.608,8.931,10,PhD,Logical,A-(3.5-3.75),Female,Sophomore,Logical,A-(3.5-3.75),
2019-12-05 15:35:19,2019-12-05 15:36:25,IP Address,155.41.12.145,100,66,True,2019-12-05 15:36:26,R_1hJYF4Vb4w0MARU,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,1.851,27.14,27.879,13,Senior,Emotional,B(3.0-3.25),0.944,19.235,19.938,10,Graduates,Logical,B+(3.25-3.5),,,,,,,,Male,Graduates,Logical,B+(3.25-3.5),
2019-12-05 15:35:37,2019-12-05 15:36:39,IP Address,128.42.1.226,100,62,True,2019-12-05 15:36:39,R_3nAGMItv3NIho5A,,,,,29.7227935791015625,-95.42510223388671875,anonymous,EN,0.879,24.308,24.942,16,Graduates,Emotional,B(3.0-3.25),0.684,18.301,18.953,20,Junior,Emotional,B+(3.25-3.5),,,,,,,,Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:36:33,2019-12-05 15:37:47,IP Address,73.219.243.149,100,73,True,2019-12-05 15:37:47,R_2EpfANT47MQMQ5E,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,1.544,33.679,34.624,17,Graduates,Logical,A-(3.5-3.75),,,,,,,,1.498,15.361,16.451,9,Graduates,Logical,A(3.75-4.0),Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:37:09,2019-12-05 15:38:03,IP Address,172.58.220.82,100,54,True,2019-12-05 15:38:04,R_BKUu5cj29njEVSp,,,,,42.37249755859375,-71.181396484375,anonymous,EN,3.044,20.283,20.99,13,Graduates,Emotional,B+(3.25-3.5),,,,,,,,0.806,11.03,11.784,8,Freshman,Logical,B(3.0-3.25),Male,Graduates,Emotional,B+(3.25-3.5),
2019-12-05 15:37:45,2019-12-05 15:38:53,IP Address,73.219.243.149,100,67,True,2019-12-05 15:38:53,R_1i4BZ5BXKiQYrs8,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,0.534,26.871,27.572,12,Sophomore,Logical,A-(3.5-3.75),3.26,9.646,10.325,8,Freshman,Logical,A-(3.5-3.75),,,,,,,,Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:38:27,2019-12-05 15:39:45,IP Address,54.240.196.168,100,77,True,2019-12-05 15:39:45,R_cBDtom6pE9A03Qt,,,,,47.6092071533203125,-122.3314056396484375,anonymous,EN,7.913,22.714,23.709,4,Freshman,Emotional,A-(3.5-3.75),5.189,9.64,13.919,3,Freshman,Emotional,B(3.0-3.25),,,,,,,,Male,Other,Logical,A-(3.5-3.75),
2019-12-05 15:39:29,2019-12-05 15:40:46,IP Address,71.232.28.243,100,77,True,2019-12-05 15:40:46,R_1JWKE6YxwzjpViF,,,,,42.33990478515625,-71.1244964599609375,anonymous,EN,4.499,39.087,40.174,17,Graduates,Logical,B+(3.25-3.5),,,,,,,,3.438,16.27,17.111,12,Senior,Logical,A-(3.5-3.75),Female,Graduates,Logical,Prefer not to say,
2019-12-05 15:40:05,2019-12-05 15:41:10,IP Address,155.41.102.69,100,65,True,2019-12-05 15:41:11,R_szKqmF3uUI9YoAp,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,3.773,29.668,30.604,11,Graduates,Emotional,B+(3.25-3.5),1.006,9.331,10.395,11,Graduates,Emotional,B+(3.25-3.5),,,,,,,,Male,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:40:21,2019-12-05 15:41:46,IP Address,206.127.177.97,100,85,True,2019-12-05 15:41:47,R_UcjAVipUCFvjeil,,,,,42.03729248046875,-93.60050201416015625,anonymous,EN,1.378,40.953,41.492,17,Graduates,Logical,A(3.75-4.0),,,,,,,,2.092,19.825,20.534,12,Junior,Logical,A(3.75-4.0),Male,Senior,Prefer not to say,A-(3.5-3.75),
2019-12-05 15:42:08,2019-12-05 15:42:55,IP Address,107.77.195.182,100,46,True,2019-12-05 15:42:55,R_b9JvrbOmXSM4m0F,,,,,39.9586944580078125,-82.9987030029296875,anonymous,EN,1.272,16.767,17.179,13,Graduates,Emotional,A(3.75-4.0),0.864,9.752,10.157,11,Graduates,Logical,A(3.75-4.0),,,,,,,,Male,Graduates,Prefer not to say,B(3.0-3.25),
2019-12-05 15:43:10,2019-12-05 15:44:32,IP Address,93.23.17.46,100,82,True,2019-12-05 15:44:33,R_2s74HUtR70u95xf,,,,,48.8582000732421875,2.3386993408203125,anonymous,EN,3.479,39.561,41.268,15,Senior,Emotional,B+(3.25-3.5),,,,,,,,4.404,17.218,17.818,9,Senior,Logical,A-(3.5-3.75),Female,Graduates,Prefer not to say,B(3.0-3.25),
2019-12-05 15:43:55,2019-12-05 15:44:46,IP Address,66.24.194.175,100,51,True,2019-12-05 15:44:46,R_11ZPF78FFF22sXI,,,,,43.18060302734375,-77.5948028564453125,anonymous,EN,3.682,17.295,17.982,12,Junior,Logical,A-(3.5-3.75),0.619,12.837,13.859,10,Senior,Emotional,B+(3.25-3.5),,,,,,,,Female,Senior,Logical,A-(3.5-3.75),
2019-12-05 15:44:16,2019-12-05 15:45:17,IP Address,129.236.134.146,100,60,True,2019-12-05 15:45:17,R_3kLHG8IkK1boUnT,,,,,41.0102996826171875,-73.9250030517578125,anonymous,EN,2.118,25.562,26.764,20,Junior,Emotional,B+(3.25-3.5),,,,,,,,1.066,11.574,12.584,17,Graduates,Logical,A-(3.5-3.75),Female,Graduates,Prefer not to say,A(3.75-4.0),
2019-12-05 15:44:26,2019-12-05 15:45:40,IP Address,64.187.253.163,100,73,True,2019-12-05 15:45:40,R_20Vy3ea1kwxOx9u,,,,,40.789398193359375,-73.58550262451171875,anonymous,EN,4.721,30.529,31.524,17,Graduates,Emotional,B+(3.25-3.5),4.832,13.578,14.669,9,Graduates,Emotional,B+(3.25-3.5),,,,,,,,Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:45:01,2019-12-05 15:45:42,IP Address,69.5.144.65,100,41,True,2019-12-05 15:45:43,R_2qq2vrz6BENTkqw,,,,,42.0514068603515625,-93.69080352783203125,anonymous,EN,2.13,14.894,16.099,10,Senior,Logical,A-(3.5-3.75),,,,,,,,0.795,9.238,10.087,12,Sophomore,Logical,A(3.75-4.0),Female,Senior,Emotional,A-(3.5-3.75),
2019-12-05 15:45:38,2019-12-05 15:46:44,IP Address,71.105.230.230,100,65,True,2019-12-05 15:46:44,R_2Y3A5cHM0TB5InJ,,,,,40.6739959716796875,-73.97010040283203125,anonymous,EN,12.399,28.702,29.241,4,Senior,Emotional,A-(3.5-3.75),8.458,13.465,15.177,3,Freshman,Emotional,B(3.0-3.25),,,,,,,,Female,Senior,Logical,A-(3.5-3.75),
2019-12-05 15:45:48,2019-12-05 15:47:15,IP Address,107.77.206.82,100,87,True,2019-12-05 15:47:16,R_BPRB9H8jDGZFlPH,,,,,38.714202880859375,-90.27590179443359375,anonymous,EN,2,37.218,38.497,22,Graduates,Logical,A(3.75-4.0),,,,,,,,1.155,13.699,14.503,15,Junior,Logical,A-(3.5-3.75),Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:45:21,2019-12-05 15:47:22,IP Address,172.58.219.138,100,121,True,2019-12-05 15:47:22,R_30vmoRDz4zAShhV,,,,,42.3634033203125,-71.07129669189453125,anonymous,EN,0.69,31.719,32.404,13,Senior,Logical,A-(3.5-3.75),0.618,49.936,50.677,20,Sophomore,Emotional,B+(3.25-3.5),,,,,,,,Female,Graduates,Logical,B(3.0-3.25),
2019-12-05 15:47:07,2019-12-05 15:48:27,IP Address,73.142.126.23,100,79,True,2019-12-05 15:48:27,R_1LvepNzJSvwUGcW,,,,,42.3639984130859375,-71.02649688720703125,anonymous,EN,1.676,27.026,27.832,15,Sophomore,Emotional,B+(3.25-3.5),,,,,,,,1.685,15.686,16.458,9,Sophomore,Logical,A-(3.5-3.75),Female,Graduates,Logical,A(3.75-4.0),
2019-12-05 15:48:32,2019-12-05 15:49:24,IP Address,205.201.22.157,100,51,True,2019-12-05 15:49:24,R_0v2ZEfoD6qPIEdb,,,,,42.34979248046875,-71.07649993896484375,anonymous,EN,2.665,22.201,22.987,15,Graduates,Emotional,B+(3.25-3.5),1.412,12.493,13.237,13,Sophomore,Emotional,A-(3.5-3.75),,,,,,,,Female,Graduates,Prefer not to say,A-(3.5-3.75),
2019-12-05 15:33:33,2019-12-05 15:49:59,IP Address,155.41.2.21,100,986,True,2019-12-05 15:49:59,R_1GE3zTGhsuuH5ET,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,0.791,12.173,12.994,10,,,,0.623,3.74,5.686,5,,,,,,,,,,,,,,,
2019-12-05 15:50:12,2019-12-05 15:50:35,IP Address,155.41.84.107,100,22,True,2019-12-05 15:50:35,R_e3F2Lsvvw4MDohr,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,0.409,5.267,6.534,6,,,,,,,,,,,0.39,4.593,5.94,6,,,,,,,,
2019-12-05 15:51:32,2019-12-05 15:52:52,IP Address,107.77.194.225,100,79,True,2019-12-05 15:52:53,R_2zuOcBUmWFDpljI,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,3.094,29.409,30.34,16,Junior,Logical,A-(3.5-3.75),1.875,19.988,22.339,13,Freshman,Emotional,B+(3.25-3.5),,,,,,,,Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:52:17,2019-12-05 15:53:13,IP Address,66.30.209.116,100,56,True,2019-12-05 15:53:14,R_3hxTruLjcm2W9GS,,,,,42.37249755859375,-71.181396484375,anonymous,EN,3.721,26.171,27.778,14,Graduates,Emotional,B+(3.25-3.5),,,,,,,,0.726,11.447,12.772,11,Graduates,Logical,A(3.75-4.0),Male,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:51:34,2019-12-05 15:53:21,IP Address,172.58.221.220,100,107,True,2019-12-05 15:53:21,R_1hXzzyUgmodp7Og,,,,,41.873992919921875,-71.3843994140625,anonymous,EN,2.283,21.209,22.852,9,Junior,Emotional,A(3.75-4.0),,,,,,,,1.977,9.329,10.289,10,Junior,Logical,A(3.75-4.0),Female,Sophomore,Prefer not to say,A-(3.5-3.75),Judgement based on appearance
2019-12-05 15:53:04,2019-12-05 15:54:31,IP Address,77.136.42.34,100,87,True,2019-12-05 15:54:32,R_vYmJqXTcxVt1yc9,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,2.703,33.109,33.824,10,Graduates,Logical,B+(3.25-3.5),2.262,12.631,13.683,9,Junior,Emotional,B+(3.25-3.5),,,,,,,,Female,Graduates,Logical,B+(3.25-3.5),
2019-12-05 15:34:30,2019-12-05 15:56:15,IP Address,150.108.242.149,100,1305,True,2019-12-05 15:56:16,R_9LcUbHQrQDLcO1H,,,,,40.8621978759765625,-73.89019775390625,anonymous,EN,2.275,56.373,59.19,17,Graduates,Emotional,B(3.0-3.25),0.787,117.115,118.243,13,Senior,Logical,A-(3.5-3.75),,,,,,,,Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:55:18,2019-12-05 15:56:32,IP Address,73.219.2.29,100,73,True,2019-12-05 15:56:32,R_3LhGGfWHfaoNC4L,,,,,42.246307373046875,-70.99720001220703125,anonymous,EN,4.557,27.105,27.868,9,Graduates,Logical,A-(3.5-3.75),,,,,,,,5.164,11.616,12.502,7,Graduates,Logical,A(3.75-4.0),Female,Graduates,Emotional,B+(3.25-3.5),
2019-12-05 15:56:59,2019-12-05 15:58:26,IP Address,155.41.23.82,100,86,True,2019-12-05 15:58:26,R_1OuFXngoWOXvOJO,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,4.286,25.801,26.879,13,Sophomore,Emotional,B+(3.25-3.5),0.837,22.104,22.907,11,Senior,Logical,A-(3.5-3.75),,,,,,,,Female,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:57:18,2019-12-05 15:58:29,IP Address,107.77.192.51,100,70,True,2019-12-05 15:58:29,R_3CWnG3J3zXrS4Me,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,1.647,33.015,33.895,17,Junior,Emotional,A-(3.5-3.75),,,,,,,,0.718,16.976,17.782,13,Sophomore,Logical,A(3.75-4.0),Female,Graduates,Emotional,A(3.75-4.0),
2019-12-05 15:57:53,2019-12-05 15:58:52,IP Address,107.77.192.160,100,59,True,2019-12-05 15:58:53,R_2WBjaGq915e0Tq2,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,2.153,29.077,29.976,17,Freshman,Emotional,C+(2.5-2.75),0.678,9.249,9.985,11,Senior,Emotional,B-(2.75-3.0),,,,,,,,Female,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:57:22,2019-12-05 15:58:55,IP Address,73.61.10.99,100,93,True,2019-12-05 15:58:56,R_3oyAhcSGF8OiubE,,,,,42.297393798828125,-71.07219696044921875,anonymous,EN,4.348,33.335,34.092,19,Sophomore,Emotional,B+(3.25-3.5),0.83,14.835,15.501,11,Junior,Logical,A-(3.5-3.75),,,,,,,,Female,Graduates,Prefer not to say,B+(3.25-3.5),
2019-12-05 15:57:22,2019-12-05 16:00:10,IP Address,75.69.144.180,100,167,True,2019-12-05 16:00:10,R_2ZCTcjdpthJfEDo,,,,,42.33880615234375,-71.072601318359375,anonymous,EN,1.407,51.645,52.653,19,Freshman,Emotional,A-(3.5-3.75),,,,,,,,1.006,16.285,17.097,15,Sophomore,Logical,A-(3.5-3.75),Female,Graduates,Emotional,B(3.0-3.25),
2019-12-05 16:01:30,2019-12-05 16:02:30,IP Address,71.232.29.97,100,60,True,2019-12-05 16:02:30,R_2DUCul3uWD7qmdi,,,,,42.33990478515625,-71.1244964599609375,anonymous,EN,3.504,21.325,25.716,10,Graduates,Emotional,A(3.75-4.0),,,,,,,,1.676,8.759,9.879,10,Graduates,Logical,A(3.75-4.0),Male,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 16:04:30,2019-12-05 16:05:45,IP Address,93.23.105.107,100,74,True,2019-12-05 16:05:45,R_3D7M3MTxGwfGxBp,,,,,48.8582000732421875,2.3386993408203125,anonymous,EN,3.127,23.607,24.507,15,Freshman,Emotional,A-(3.5-3.75),1.027,20.526,21.597,10,Senior,Logical,A(3.75-4.0),,,,,,,,Female,Graduates,Logical,A-(3.5-3.75),
2019-12-05 16:06:23,2019-12-05 16:07:38,IP Address,172.58.227.7,100,75,True,2019-12-05 16:07:39,R_4Z2sAD6qwY6Xe4F,,,,,40.671295166015625,-73.8943023681640625,anonymous,EN,4.551,28.239,28.565,17,Graduates,Emotional,B(3.0-3.25),,,,,,,,1.182,12.553,12.851,10,Graduates,Logical,A(3.75-4.0),Female,Graduates,Emotional,A(3.75-4.0),
2019-12-05 16:06:21,2019-12-05 16:08:11,IP Address,167.98.167.172,100,110,True,2019-12-05 16:08:11,R_3fTzeus0SdcXH7d,,,,,53.3831024169921875,-1.4600982666015625,anonymous,EN,1.785,52.072,52.694,13,Graduates,Logical,A-(3.5-3.75),16.925,34.081,34.742,13,Junior,Emotional,B-(2.75-3.0),,,,,,,,Male,Graduates,Logical,B(3.0-3.25),
2019-12-05 16:09:29,2019-12-05 16:10:56,IP Address,128.151.150.18,100,86,True,2019-12-05 16:10:56,R_xbX4kQBpaP4mGTT,,,,,43.12750244140625,-77.6277008056640625,anonymous,EN,4.163,25.273,26.082,13,Graduates,Logical,A(3.75-4.0),,,,,,,,1.248,19.22,19.719,18,Sophomore,Emotional,B+(3.25-3.5),Female,Graduates,Emotional,A-(3.5-3.75),glasses
2019-12-05 16:14:54,2019-12-05 16:16:11,IP Address,73.16.71.232,100,77,True,2019-12-05 16:16:11,R_1g1KPE84Ytv8anD,,,,,42.27960205078125,-71.12819671630859375,anonymous,EN,2.64,19.91,20.857,17,Graduates,Logical,A-(3.5-3.75),,,,,,,,0.619,11.438,12.309,11,Senior,Logical,A(3.75-4.0),Female,Graduates,Emotional,A(3.75-4.0),Appearance affect our judgement or not
2019-12-05 16:17:35,2019-12-05 16:18:50,IP Address,123.211.73.92,100,74,True,2019-12-05 16:18:51,R_1Ngka62BU18eBXT,,,,,-27.47320556640625,153.021514892578125,anonymous,EN,5.248,32.155,32.795,12,Graduates,Logical,B+(3.25-3.5),3.083,11.723,12.789,9,Graduates,Logical,B+(3.25-3.5),,,,,,,,Female,Other,Prefer not to say,B-(2.75-3.0),
